snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,4173.29290158333,1,0,0.0,67.61999999999998,4173.29290158333,4173.29290158333,4131.56157714371,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,1410.34865753425,0,1,2141.51,295.83999999999986,1410.34865753425,1410.34865753425,-801.6766301369869,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),2958.49,1292.81956174469,0,0,0.0,147.91999999999993,1292.81956174469,1292.81956174469,1228.1805500957494,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,2569.41931506849,1,0,0.0,279.8500000000002,2569.41931506849,2569.41931506849,2491.396248894532,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,1797.09375342466,1,0,0.0,0.0,1797.09375342466,1797.09375342466,1797.09375342466,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1637.30131506849,1,0,0.0,887.5400000000008,1637.30131506849,1637.30131506849,1146.1147945205455,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,1760.0402739726,1,0,0.0,169.05999999999995,1760.0402739726,1760.0402739726,1672.0364383561619,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2489.53506849315,1,0,0.0,211.3200000000001,2489.53506849315,2489.53506849315,2365.058904109588,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,3083.9252075757,1,0,0.0,887.5400000000005,3083.9252075757,3083.9252075757,2814.084032158016,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,12832.3210958904,1,0,0.0,4367.109999999997,9505.417255753946,12832.3210958904,10137.533418927698,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,2367.57304109589,0,1,2928.6299999999997,2160.4100000000026,1753.7578082191776,2367.57304109589,-1413.3830958904093,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,4143.24493150685,0,0,0.0,3360.6299999999997,3069.0703196347035,4143.24493150685,2485.9479452054798,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),6147.0,2677.73424657534,0,0,0.0,1290.87,1983.5075342465768,2677.73424657534,2115.4100547945186,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,D,,0106移动展业(App),19748.48,5187.95128767123,1,0,0.0,6798.850000000009,3842.9268797564664,5187.95128767123,3401.8845821737136,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,E,,0106移动展业(App),9287.4,4834.53698630137,1,0,0.0,3343.4599999999978,3581.1355982489213,4834.53698630137,3094.1057534246593,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,A,,0106移动展业(App),4829.08,1164.27134246575,0,0,0.0,1497.0100000000002,1411.2351925535875,1164.27134246575,803.3483835616415,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,B,,0106移动展业(App),6633.85,3653.16123287671,1,0,0.0,2653.5400000000004,2706.0453576864516,3653.16123287671,2191.8967397260258,40
2025-10-05,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,C,,0106移动展业(App),2025.6,2025.6,1,0,0.0,729.2200000000006,1500.4444444444443,2025.6,1296.3799999999994,40
