snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,3784.23137427635,1,0,0.0,67.61999999999998,3784.23137427635,3784.23137427635,3746.3905155207613,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,1069.91967123288,0,1,2141.51,147.91999999999993,1069.91967123288,1069.91967123288,-1098.3375068493222,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),2958.49,1122.6050739914701,0,0,0.0,147.91999999999993,1122.6050739914701,1122.6050739914701,1066.476527826089,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,2058.77583561644,1,0,0.0,279.8500000000002,2058.77583561644,2058.77583561644,1996.2589850900922,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,1602.5629863013698,0,0,0.0,0.0,1602.5629863013698,1602.5629863013698,1602.5629863013698,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1467.0868219178099,0,0,0.0,887.5400000000008,1467.0868219178099,1467.0868219178099,1026.9642465753434,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,1565.50950684932,0,0,0.0,169.05999999999995,1565.50950684932,1565.50950684932,1487.2324109589088,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2246.37117808219,1,0,0.0,211.3200000000001,2246.37117808219,2246.37117808219,2134.0531506849297,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,2500.3323416583103,1,0,0.0,887.5400000000005,2500.3323416583103,2500.3323416583103,2281.5551105015566,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,11635.8527123288,1,0,0.0,4367.109999999997,8619.144917796888,11635.8527123288,9192.323418927732,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,2022.30197260274,0,1,2928.6299999999997,2160.4100000000026,1498.0014611872148,2022.30197260274,-1634.356602739729,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,3659.8663561643802,0,0,0.0,3360.6299999999997,2711.0121156773184,3659.8663561643802,2195.920684931505,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),6147.0,2324.07123287671,0,0,0.0,1290.87,1721.5348410441984,2324.07123287671,1836.0162739726009,37
2025-09-14,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,D,,0106移动展业(App),19748.48,4091.46764383562,1,0,0.0,6798.850000000009,3030.7167732115704,4091.46764383562,2682.8896271836124,37
