snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,4951.41595619729,1,0,0.0,67.61999999999998,4951.41595619729,4951.41595619729,4901.903700389607,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,C,,0106移动展业(App),4226.42,138.950794520548,0,0,0.0,42.26000000000001,138.950794520548,138.950794520548,137.56142465753427,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,转保,,,D,,0106移动展业(App),2958.49,275.585369863014,0,0,0.0,147.91999999999993,275.585369863014,275.585369863014,261.8065205479455,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,2091.20663013699,1,1,2330.19,295.83999999999986,2091.20663013699,2091.20663013699,-343.5405205479441,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),6339.62,1753.6723454703,1,0,0.0,316.97999999999973,1753.6723454703,1753.6723454703,1665.9890048178358,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,3590.7062739726,2,0,0.0,279.8500000000002,3590.7062739726,3590.7062739726,3481.6707765034207,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,2186.15528767123,1,0,0.0,0.0,2186.15528767123,2186.15528767123,2186.15528767123,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1977.73030136986,1,0,0.0,887.5400000000008,1977.73030136986,1977.73030136986,1384.4158904109563,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,2149.10180821918,1,0,0.0,169.05999999999995,2149.10180821918,2149.10180821918,2041.644493150687,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,True,转保,,,,,0106移动展业(App),4226.42,150.53002739726,0,0,0.0,42.26000000000001,150.53002739726,150.53002739726,149.0248767123285,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2975.86284931507,1,0,0.0,211.3200000000001,2975.86284931507,2975.86284931507,2827.0704109589055,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,4251.1109394105,1,0,0.0,887.5400000000005,4251.1109394105,4251.1109394105,3879.1418754709534,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,C,,0106移动展业(App),2958.49,81.1,0,0,0.0,0.0,81.1,81.1,81.1,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,15225.2578630137,1,0,0.0,4367.109999999997,11277.961931668136,15225.2578630137,12027.953418927707,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,C,,0106移动展业(App),8954.02,220.78405479452098,0,0,0.0,3312.9899999999993,163.54367536830398,220.78405479452098,139.0938904109592,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,转保,,,D,,0106移动展业(App),10269.539999999999,928.47895890411,0,0,0.0,3388.9500000000003,687.7616547489454,928.47895890411,622.0807397260276,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,3058.11517808219,1,1,3117.31,2160.4100000000026,2265.2705022831037,3058.11517808219,-1160.1160821917927,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,5110.002082191781,1,0,0.0,3360.6299999999997,3785.186727549467,5110.002082191781,3066.002465753425,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),14548.58,3615.2405479452,0,0,0.0,4063.4000000000024,2677.956352155217,3615.2405479452,2605.5084337099593,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,D,,0106移动展业(App),19748.48,7380.91857534247,1,0,0.0,6798.850000000009,5467.347092846274,7380.91857534247,4839.87449215393,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,E,,0106移动展业(App),9287.4,5903.22410958904,1,0,0.0,3343.4599999999978,4372.755046282892,5903.22410958904,3778.065972602741,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,A,,0106移动展业(App),4829.08,1719.9463013698598,0,0,0.0,1497.0100000000002,2084.779261726893,1719.9463013698598,1186.7646575342444,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,B,,0106移动展业(App),6633.85,4416.50835616438,1,0,0.0,2653.5400000000004,3271.4876712328737,4416.50835616438,2649.9050136986275,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,C,,0106移动展业(App),2025.6,2025.6,1,0,0.0,729.2199999999985,1500.4444444444443,2025.6,1296.3800000000012,46
2025-11-16,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,True,转保,,,,,0106移动展业(App),12294.0,404.18630136986303,0,0,0.0,2581.74,299.39736365986096,404.18630136986303,319.3071780821918,46
2025-11-16,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,主全,False,转保,,,B,,0106移动展业(App),2958.49,2411.37190983727,1,0,0.0,144.9699999999999,2411.37190983727,2411.37190983727,2293.2114341320594,46
2025-11-16,2025,10吨以上-普货,中支,四川,德阳,营业货车,交强险,False,交三,False,续保,,,B,,0106移动展业(App),2958.49,1896.6757808219202,1,0,0.0,147.91999999999993,1896.6757808219202,1896.6757808219202,1801.844876712331,46
