snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,主全,False,续保,,,B,,0106移动展业(App),6762.26,4043.60572581434,1,0,0.0,67.61999999999998,4043.60572581434,4043.60572581434,4003.171223269397,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,A,,0106移动展业(App),5916.98,1296.87232876712,0,1,2141.51,295.83999999999986,1296.87232876712,1296.87232876712,-909.4793150684912,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,C,,0106移动展业(App),2958.49,1236.08139916028,0,0,0.0,147.91999999999993,1236.08139916028,1236.08139916028,1174.2792093391927,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,D,,0106移动展业(App),9215.89,2399.20482191781,1,0,0.0,279.8500000000002,2399.20482191781,2399.20482191781,2326.3504942930554,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,续保,,,E,,0106移动展业(App),3381.13,1732.25016438356,1,0,0.0,0.0,1732.25016438356,1732.25016438356,1732.25016438356,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,B,,0106移动展业(App),2958.49,1580.56315068493,1,0,0.0,887.5400000000008,1580.56315068493,1580.56315068493,1106.397945205478,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,交三,False,转保,,,C,,0106移动展业(App),3381.13,1695.19668493151,1,0,0.0,169.05999999999995,1695.19668493151,1695.19668493151,1610.435095890414,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,A,,0106移动展业(App),616.02,616.02,1,0,0.0,0.0,616.02,616.02,616.02,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,B,,0106移动展业(App),745.6999999999999,745.6999999999999,1,0,0.0,37.29000000000001,745.6999999999999,745.6999999999999,708.41,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,续保,,,E,,0106移动展业(App),4226.42,2408.48043835616,1,0,0.0,211.3200000000001,2408.48043835616,2408.48043835616,2288.0569863013657,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,交强险,False,单交,False,转保,,,A,,0106移动展业(App),10143.4,2889.3942522699,1,0,0.0,887.5400000000005,2889.3942522699,2889.3942522699,2636.5743916058595,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,主全,False,续保,,,B,,0106移动展业(App),20795.76,12433.4983013699,1,0,0.0,4367.109999999997,9209.993143101618,12433.4983013699,9822.463418927735,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,A,,0106移动展业(App),6001.14,2252.48268493151,0,1,2928.6299999999997,2160.4100000000026,1668.5056925418592,2252.48268493151,-1487.0409315068523,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,B,,0106移动展业(App),8401.58,3982.11873972603,0,0,0.0,3360.6299999999997,2949.7175849822443,3982.11873972603,2389.2721917808235,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,C,,0106移动展业(App),6147.0,2559.84657534247,0,0,0.0,1290.87,1896.183303179122,2559.84657534247,2022.2787945205512,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,D,,0106移动展业(App),19748.48,4822.45673972603,1,0,0.0,6798.850000000009,3572.1901775748365,4822.45673972603,3162.2195971770157,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,续保,,,E,,0106移动展业(App),9287.4,4656.42246575343,1,0,0.0,3343.4599999999978,3449.199023576596,4656.42246575343,2980.112383561648,39
2025-09-28,2025,10吨以上-普货,中支,四川,乐山,营业货车,商业保险,False,交三,False,转保,,,A,,0106移动展业(App),4829.08,1071.65884931507,0,0,0.0,1497.0100000000002,1298.977847691376,1071.65884931507,739.4456712328778,39
